Run	Sample Characteristic[cultivar]	Sample Characteristic Ontology Term[cultivar]	Sample Characteristic[developmental stage]	Sample Characteristic Ontology Term[developmental stage]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Factor Value[developmental stage]	Factor Value Ontology Term[developmental stage]	Factor Value[organism part]	Factor Value Ontology Term[organism part]	Analysed
SRR1619633	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	6 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	6 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	leaf	http://purl.obolibrary.org/obo/PO_0025034	Yes
SRR1619634	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	6 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	6 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	leaf	http://purl.obolibrary.org/obo/PO_0025034	Yes
SRR1619635	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	6 days after anthesis		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	6 days after anthesis		leaf	http://purl.obolibrary.org/obo/PO_0025034	Yes
SRR1619636	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	12 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	12 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	leaf	http://purl.obolibrary.org/obo/PO_0025034	Yes
SRR1619637	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	12 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	12 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	leaf	http://purl.obolibrary.org/obo/PO_0025034	Yes
SRR1619638	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	12 days after anthesis		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	12 days after anthesis		leaf	http://purl.obolibrary.org/obo/PO_0025034	Yes
SRR1619659	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	12 days after anthesis		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	12 days after anthesis		leaf	http://purl.obolibrary.org/obo/PO_0025034	Yes
SRR1619660	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	leaf	http://purl.obolibrary.org/obo/PO_0025034	Yes
SRR1619661	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	leaf	http://purl.obolibrary.org/obo/PO_0025034	Yes
SRR1619662	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	18 days after anthesis		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	18 days after anthesis		leaf	http://purl.obolibrary.org/obo/PO_0025034	Yes
SRR1619663	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	24 days after anthesis		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	24 days after anthesis		leaf	http://purl.obolibrary.org/obo/PO_0025034	Yes
SRR1619664	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	24 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	24 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	leaf	http://purl.obolibrary.org/obo/PO_0025034	Yes
SRR1619665	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	24 days after anthesis		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	24 days after anthesis		leaf	http://purl.obolibrary.org/obo/PO_0025034	Yes
SRR1619666	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	24 days after anthesis		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	24 days after anthesis		leaf	http://purl.obolibrary.org/obo/PO_0025034	Yes
SRR1619667	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	30 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	30 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	leaf	http://purl.obolibrary.org/obo/PO_0025034	Yes
SRR1619668	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	30 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	30 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	leaf	http://purl.obolibrary.org/obo/PO_0025034	Yes
SRR1619669	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	pollination	http://purl.obolibrary.org/obo/GO_0009856	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	pollination	http://purl.obolibrary.org/obo/GO_0009856	leaf	http://purl.obolibrary.org/obo/PO_0025034	Yes
SRR1619670	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	pollination	http://purl.obolibrary.org/obo/GO_0009856	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	pollination	http://purl.obolibrary.org/obo/GO_0009856	leaf	http://purl.obolibrary.org/obo/PO_0025034	Yes
SRR1619671	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	anthesis	http://purl.obolibrary.org/obo/PO_0007016	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	anthesis	http://purl.obolibrary.org/obo/PO_0007016	leaf	http://purl.obolibrary.org/obo/PO_0025034	Yes
SRR1619674	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	anthesis	http://purl.obolibrary.org/obo/PO_0007016	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	anthesis	http://purl.obolibrary.org/obo/PO_0007016	leaf	http://purl.obolibrary.org/obo/PO_0025034	Yes
SRR1620828	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	6 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	internode	http://purl.obolibrary.org/obo/PO_0020142	6 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	internode	http://purl.obolibrary.org/obo/PO_0020142	Yes
SRR1620830	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	6 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	internode	http://purl.obolibrary.org/obo/PO_0020142	6 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	internode	http://purl.obolibrary.org/obo/PO_0020142	Yes
SRR1620835	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	6 days after anthesis		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	internode	http://purl.obolibrary.org/obo/PO_0020142	6 days after anthesis		internode	http://purl.obolibrary.org/obo/PO_0020142	Yes
SRR1620836	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	6 days after anthesis		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	internode	http://purl.obolibrary.org/obo/PO_0020142	6 days after anthesis		internode	http://purl.obolibrary.org/obo/PO_0020142	Yes
